,Model,Dataset,Fold,Score,Metric
321,Natural,cylinder-bands,0,0.6607142857142857,adversarial accuracy
322,Natural,cylinder-bands,1,0.6071428571428571,accuracy
323,Natural,cylinder-bands,1,0.6071428571428572,adversarial accuracy
324,Natural,cylinder-bands,2,0.5818181818181818,accuracy
325,Natural,cylinder-bands,2,0.5818181818181818,adversarial accuracy
326,Natural,cylinder-bands,3,0.5636363636363636,accuracy
327,Natural,cylinder-bands,3,0.5636363636363637,adversarial accuracy
328,Natural,cylinder-bands,4,0.6,accuracy
329,Natural,cylinder-bands,4,0.6,adversarial accuracy
330,Natural,diabetes,0,0.7012987012987013,accuracy
331,Natural,diabetes,0,0.7012987012987013,adversarial accuracy
332,Natural,diabetes,1,0.7272727272727273,accuracy
333,Natural,diabetes,1,0.7272727272727273,adversarial accuracy
334,Natural,diabetes,2,0.7467532467532467,accuracy
335,Natural,diabetes,2,0.7467532467532467,adversarial accuracy
336,Natural,diabetes,3,0.7058823529411765,accuracy
337,Natural,diabetes,3,0.6993464052287581,adversarial accuracy
338,Natural,diabetes,4,0.7320261437908496,accuracy
339,Natural,diabetes,4,0.7254901960784313,adversarial accuracy
340,Natural,haberman,0,0.6774193548387096,accuracy
341,Natural,haberman,0,0.6612903225806452,adversarial accuracy
342,Natural,haberman,1,0.6885245901639344,accuracy
343,Natural,haberman,1,0.6885245901639344,adversarial accuracy
344,Natural,haberman,2,0.7377049180327869,accuracy
345,Natural,haberman,2,0.7377049180327868,adversarial accuracy
346,Natural,haberman,3,0.7704918032786885,accuracy
347,Natural,haberman,3,0.7704918032786885,adversarial accuracy
348,Natural,haberman,4,0.7540983606557377,accuracy
349,Natural,haberman,4,0.7540983606557377,adversarial accuracy
350,Natural,ionosphere,0,0.9014084507042254,accuracy
351,Natural,ionosphere,0,0.7605633802816901,adversarial accuracy
352,Natural,ionosphere,1,0.8571428571428571,accuracy
353,Natural,ionosphere,1,0.7428571428571429,adversarial accuracy
354,Natural,ionosphere,2,0.8285714285714286,accuracy
355,Natural,ionosphere,2,0.7285714285714286,adversarial accuracy
356,Natural,ionosphere,3,0.8857142857142857,accuracy
357,Natural,ionosphere,3,0.6857142857142857,adversarial accuracy
358,Natural,ionosphere,4,0.8571428571428571,accuracy
359,Natural,ionosphere,4,0.6428571428571428,adversarial accuracy
360,Natural,parkinsons,0,0.9230769230769231,accuracy
361,Natural,parkinsons,0,0.1282051282051282,adversarial accuracy
362,Natural,parkinsons,1,0.7948717948717948,accuracy
363,Natural,parkinsons,1,0.20512820512820518,adversarial accuracy
364,Natural,parkinsons,2,0.8717948717948718,accuracy
365,Natural,parkinsons,2,0.23076923076923073,adversarial accuracy
366,Natural,parkinsons,3,0.9487179487179487,accuracy
367,Natural,parkinsons,3,0.05128205128205132,adversarial accuracy
368,Natural,parkinsons,4,0.7435897435897436,accuracy
369,Natural,parkinsons,4,0.2564102564102564,adversarial accuracy
370,Natural,planning-relax,0,0.5675675675675675,accuracy
371,Natural,planning-relax,0,0.3783783783783784,adversarial accuracy
372,Natural,planning-relax,1,0.5945945945945946,accuracy
373,Natural,planning-relax,1,0.3783783783783784,adversarial accuracy
374,Natural,planning-relax,2,0.7222222222222222,accuracy
375,Natural,planning-relax,2,0.5833333333333333,adversarial accuracy
376,Natural,planning-relax,3,0.6666666666666666,accuracy
377,Natural,planning-relax,3,0.5277777777777778,adversarial accuracy
378,Natural,planning-relax,4,0.6944444444444444,accuracy
379,Natural,planning-relax,4,0.4722222222222222,adversarial accuracy
380,Natural,sonar,0,0.7142857142857143,accuracy
381,Natural,sonar,0,0.0,adversarial accuracy
382,Natural,sonar,1,0.7142857142857143,accuracy
383,Natural,sonar,1,0.023809523809523836,adversarial accuracy
384,Natural,sonar,2,0.7619047619047619,accuracy
385,Natural,sonar,2,0.0,adversarial accuracy
386,Natural,sonar,3,0.8048780487804879,accuracy
387,Natural,sonar,3,0.2195121951219512,adversarial accuracy
388,Natural,sonar,4,0.6341463414634146,accuracy
389,Natural,sonar,4,0.0,adversarial accuracy
390,Natural,spambase,0,0.8914223669923995,accuracy
391,Natural,spambase,0,0.44516829533116176,adversarial accuracy
392,Natural,spambase,1,0.9010869565217391,accuracy
393,Natural,spambase,1,0.33804347826086956,adversarial accuracy
394,Natural,spambase,2,0.9021739130434783,accuracy
395,Natural,spambase,2,0.32173913043478264,adversarial accuracy
396,Natural,spambase,3,0.8989130434782608,accuracy
397,Natural,spambase,3,0.3097826086956522,adversarial accuracy
398,Natural,spambase,4,0.9010869565217391,accuracy
399,Natural,spambase,4,0.28695652173913044,adversarial accuracy
400,Natural,SPECTF,0,0.7222222222222222,accuracy
401,Natural,SPECTF,0,0.7222222222222222,adversarial accuracy
402,Natural,SPECTF,1,0.7407407407407407,accuracy
403,Natural,SPECTF,1,0.7222222222222222,adversarial accuracy
404,Natural,SPECTF,2,0.8113207547169812,accuracy
405,Natural,SPECTF,2,0.8113207547169812,adversarial accuracy
406,Natural,SPECTF,3,0.7358490566037735,accuracy
407,Natural,SPECTF,3,0.7358490566037736,adversarial accuracy
408,Natural,SPECTF,4,0.7735849056603774,accuracy
409,Natural,SPECTF,4,0.7547169811320755,adversarial accuracy
410,Natural,wine,0,0.7307692307692307,accuracy
411,Natural,wine,0,0.533076923076923,adversarial accuracy
412,Natural,wine,1,0.7369230769230769,accuracy
413,Natural,wine,1,0.4061538461538462,adversarial accuracy
414,Natural,wine,2,0.7367205542725174,accuracy
415,Natural,wine,2,0.5565819861431871,adversarial accuracy
416,Natural,wine,3,0.7205542725173211,accuracy
417,Natural,wine,3,0.5096227867590455,adversarial accuracy
418,Natural,wine,4,0.7444187836797537,accuracy
419,Natural,wine,4,0.49499615088529636,adversarial accuracy
420,TREANT,banknote-authentication,0,0.9418181818181818,accuracy
421,TREANT,banknote-authentication,0,0.9272727272727272,adversarial accuracy
422,TREANT,banknote-authentication,1,0.9163636363636364,accuracy
423,TREANT,banknote-authentication,1,0.8981818181818182,adversarial accuracy
424,TREANT,banknote-authentication,2,0.9635036496350365,accuracy
425,TREANT,banknote-authentication,2,0.9598540145985401,adversarial accuracy
426,TREANT,banknote-authentication,3,0.9562043795620438,accuracy
